username,date,comment
ahightower,Jan-14,I count that in the Accord's favor...
[Deleted User],Jan-14,"Yes, but the car is in the way when looking to the right. Looking left I/you/we have no blind spot."
[Deleted User],Jan-14,"It's winter, and the dealer topped off my windshield washer fluid using fluid provided by Kia. I have never used my own fluid, since I take the car in for oil changes and inspection every three months.
I bet the Mercedes S class has heated washer nozzles, but hey...at least I don't have a clown face dash to look at.
LOL."
akirby,Jan-14,Of course you have a blind spot on the left side. There are blind spots on both sides of the vehicle. If you adjust your mirrors properly you can eliminate the blind spot. And when you turn your head and look you can see if there is a car in the blind spot on either side - which I still do even with BLIS and with having my mirrors adjusted properly. These aids are just extra insurance - not a substitute.
[Deleted User],Jan-14,"**
Are you sure you don't want to talk about blind spots more?
The Accord Sport is the best car value on the market, period. It is not just me that thinks that. Car and Drivers' ten best issue did as well. You may want to contemplate the Mazda 6 Touring. as well, which also made the 10 best list. The 6 is a VERY competitive car, with competitive specs, and (marginally) better handling than either the Accord and the Passat. Really the Accord is the bargain here though. I would love to have a blue one with the M/T if you are listening Honda!!
The Passat still looks like a bread box, but I have to admit that the sport model looks nice and more like the 3.6 SEL. The 1.8 turbo will leave you wanting in the power department however. Also, it offers only 5 manual cogs vs the 6-speeds in the Asian cars. The Passat is an older (comparatively) design than either of the others. 170 hp is just not enough for a car this size. Driving in this area, I would have to keep the revs up too much, which kills MPG.
For example, I really like the smooth power delivery in my 2.4 liter (Optima EX) and with the 6 speed auto, and 200 hp is just right for a 3200 lb car."
ivan_99,Jan-14,"I think the Passat Sport ""looks"" the best. Those 19"" wheels certainly look expensive and probably contribute to the higher price. I think the blacked out roof and mirrors give it a very nice look overall.
I'm probably the only one, but I don't care for the Accord design. It just looks like an old design to me. The Mazda 6 and Fusion are tops in design.
I do however have issues with a ""Sport"" badge that does not include any sport upgrades. Lower springs...stiffer, a slight boost in the turbo would go a long way in legitimizing the badging. An APR chip would probably fix the engine side of the ""sport""...if one were so inclined..."
garythesnail,Jan-14,"""Mazda6: Despite getting redesigned for the 2014 model year, a re-engineered Mazda6 is scheduled to arrive in late 2014 or early 2015 with a new interior and updated front fascia.
Since the debut this year, the redesigned Mazda6's interior has been criticized by some as bland. Sources say the new interior will include new gauges, instrument clusters, materials, center stack design and seating surfaces, as well as a version of the connectivity and infotainment system in the upcoming Mazda3. The new interior's overall aesthetic will be similar to that of the 2014 Mazda3, but more refined to help the mid-sized sedan keep its place atop the hierarchy of Mazda's cars.""
Let's hope they dump that stupid leatherette (vinyl) seating material on the Touring model."
m6user,Jan-14,"@garythesnail
Usually when adding quotes one references the source. Where did you read read this? I was at my Mazda dealer yesterday and they said pretty much nothing was changing on the 6 for the 2015 model year. I was just in for service and shooting the bull with the service manager so it wasn't some salesman trying to sell the 2014 model. But it wouldn't be the first time a dealer was just not up to speed on the latest and greatest. But if you're source is right and it doesn't arrive until early 2015, it would probably be a 2016 model. Tks."
stickguy,Jan-14,"just read the autoblog preview on the passat sport, and it repeatedly said it came with a 6 speed manual.
also, anyone know if that roof opens, or is it just some sort of fixed smoked glass?
and maybe it is just me, but I can't stand those 19"" wheels. Look very mis-proportioned to me. Like bad aftermarket ""dubs"".
17"" wheels would be more than big enough to me."
wayne21,Jan-14,I find the BLIS / Lanewatch topics quite interesting. It makes me wonder how people managed to get from point A to point B all these years without them. I seem to have done so for 40 years of accident-free driving. It makes me wonder if the idea behind driverless cars is because the technology will be there to do it or if it is because people are too lazy to drive their own cars or if it will be because people are too dumb to drive.
